#header info#
40.6	#latitude; used for cacluating drought index in model bugmann#
30	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1.0	0.42	-0.61	1.07	6.30

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
31	10.5	12.3	11.8	15.2	14.5	23.4	26.6	27	21.2	20.9	15.5	12.6	66.7	9.7	100.5	58.2	62.3	54.9	0.3	1.9	13.5	14.1	232	135.5
32	10.3	10.5	12.8	14	17.4	21.9	23.5	24.6	22.9	18.7	17.2	12.5	29	157.3	31.9	29.8	3.5	12.1	0.2	7.8	46.8	68.8	42.9	47.4
33	10.5	12.1	11.6	14.3	15.9	21.5	24.6	25.8	22.7	20.9	14.6	13.3	20.5	29.2	72.2	63.8	79.8	1	0	4.7	9.2	62.7	125	147.3
34	9.4	10.2	11.7	16.7	16.2	22.4	24.7	27.7	23.2	18.1	13.8	12	25.7	38.9	33.8	36.3	3.5	6.8	0.2	26.5	1.8	36.6	21.5	54.4
35	8.6	10.8	11.4	14.8	16.1	21.8	25.6	26.8	22.9	20	15.1	12.1	15.1	13.8	153.6	20	76.8	0.8	28.3	27.4	62.7	24.8	26.8	108.6
36	12.3	11.6	12	14.2	15.3	20.6	25.8	26.1	23.6	18.1	15.1	12.1	162.4	5	21.5	46.8	72.4	13.3	0	0.4	0.4	157.3	45.3	188
37	8.9	9.8	11	14.8	18.1	21.5	25.4	25	24.5	20	13.5	11	103.8	22.6	11.8	75.1	33.3	12.5	0.2	15.6	37.8	42	214.1	81.3
38	13.2	10.7	10.6	14	18.7	22.5	25.8	25.6	23.1	19.8	13.4	14.1	53.9	51.4	46	29.8	34.9	7.5	6.2	2.3	35.3	45.2	96	164.6
39	11.5	12.8	12.4	13.9	19.2	22.2	25.2	25.6	23.3	18.3	14.5	14.7	139.8	206.6	89.1	24.7	32.2	10.6	0	5.8	45.8	32.7	59.3	31.9
40	11.3	7.9	12.3	13.5	19.4	20.3	25	24.3	23.6	19.5	14.7	10.9	112.9	87	34.5	24.3	9	31.8	0.2	8.4	162.9	86.3	145.1	49.3
41	10.3	10.9	10.7	14.4	20.7	24.2	23.8	23.7	22.1	19.4	14.6	11.5	25.3	21.9	41.1	35.7	14.9	7.2	0.2	0.7	165.4	42	14.6	55
42	9.9	8.9	11	14.6	20.1	22.9	22.8	25	24	18.2	14.1	12.3	38.7	80	54.9	59.7	99.7	19	5.6	0.1	28.9	94.2	177.5	44.2
