#header info#
40.6	#latitude; used for cacluating drought index in model bugmann#
30	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1.0	0.42	-0.61	1.07	6.30

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	8.6	11.6	11.2	13.4	19.1	21.5	22.6	24.9	21.7	19	14.9	11.6	39.8	9.5	43.3	26.6	3.2	26.8	0.1	0	8.5	52	8.6	253.8
2	10.6	10.3	12	13.9	18	19.6	20.9	23.1	19.5	17.8	15.2	10.6	3.6	24.2	28.7	29.9	7.1	7.8	2.2	4.7	11.6	252.2	213.7	64.3
3	10	9.2	11.5	11.3	17.1	22.7	22	23.1	21	15.6	13.3	9.8	15.2	174.3	104	52.6	56.6	38	57.1	10.3	7.5	108.7	43.3	63.5
4	9.4	9.6	12.8	12.7	17.4	19.8	21.4	23.1	21.5	20.3	11.9	10	63.6	22	29.8	14.9	1.1	1.9	60.4	5	48.6	94.7	58.1	18.4
5	11.9	8.6	12.3	12.7	17	22.6	23	22.7	22.7	18.7	15.5	11.5	94.8	36.4	23.4	44.6	130.9	51.9	1	8.3	34.5	65.6	107.6	52.1
6	11.1	12.1	10.8	13.7	14.4	21.9	24.1	26	22.6	19.5	13.5	10.2	82.3	19	88.5	70.7	18.3	12.2	0	4.9	12.1	3	141.3	58.4
7	10.9	10.9	10.1	13.7	17.5	22.3	24.9	24.7	21.2	17.9	12.2	14.2	38.8	57.1	30.5	22.2	5.2	0.5	0.9	7	10.1	89.1	85.9	55.1
8	8.2	11.6	11.6	12.6	16.4	21.6	22	24.2	22.8	18.3	13.5	9.8	63.9	62.6	45.7	62.3	12.1	0.4	0.3	0.1	28.7	86.8	152.4	44.4
9	8.5	11.6	10.6	12.6	17	24.8	22.8	23.9	22.1	19	14.8	11.1	21.7	57.3	28.3	59.6	6.5	3.1	7.7	2	14.5	22	8.1	97.5
10	11.7	8.8	12.2	14.8	17.5	21.2	24.3	25.3	21.3	15.9	13.6	11.5	26.4	158.1	48.7	92.8	32.7	29.4	33.9	0	48.8	65.1	145.8	57.7
11	8.8	11.7	11.8	13.9	16.5	21.7	23.6	25.5	21.3	19.2	15.2	11.7	243.7	51	14.4	43.1	22.4	5	0.7	2.2	31	31.5	41.7	21.2
12	9.8	12.7	11.9	12.5	16.7	21.9	24.4	24	23.4	19.3	16.1	12.5	9.3	39.1	26.8	150.5	6.9	46.8	7.5	6.2	1.9	16.6	139	111.2
13	11.5	8.7	11.5	14	16.8	19.3	23.5	24.7	22.8	18.9	14.8	12	71.7	90.4	30.6	14.1	1.2	9.3	0.9	0	17.9	103.6	26.5	71.8
14	10.2	9.4	12.6	13.6	17.3	22.5	24.7	26.4	22.4	19.3	14.3	12.5	4.9	75	18.9	38.9	68.5	11.3	2.2	17	2	34.3	145	92.5
15	10.9	12.2	12	13.4	18	21.1	25.4	26.6	22.9	21.4	13.7	12	62.6	44.3	44.7	86.6	10.4	34.1	0.7	1.1	79.6	54.6	198.4	102.1
16	11.3	9.5	9.4	14.6	17	21.7	23.6	24.3	23.8	18.9	13.4	11.8	180.6	36.1	51.8	68.7	30.5	81.6	18.2	0.8	106.8	94.1	62.6	55
17	12.2	10.2	13.3	15	19.1	21.3	23.4	25.3	19.8	17.1	14.9	11.8	21.7	46.4	29.2	50.7	20.9	17.3	18.7	10.3	4.5	53.6	47.9	11.5
18	11.4	10	11.1	12.7	18.2	23.5	24.8	26.7	23.5	19.4	13.3	10.4	72.2	18.7	12.4	34.2	2.7	7.4	0	1.4	9	81.6	167.3	39.8
19	8.6	10.2	11.5	13.5	15	19.5	24.6	24.4	21.5	18	13.5	13.2	84.7	45.2	55.9	38.6	68	28.6	0.5	28.2	166.2	81.3	47.6	112.3
20	8.9	11.2	11.8	13.3	18.7	22	25.6	27.3	21.7	18.5	13.6	9.2	150.2	47.2	42.3	42.4	18.2	8.2	0	4.6	2.1	26.7	67	19.6
21	9.1	9	12.4	13.3	16	22.7	25.8	25.4	20.8	18.5	14.2	11	34.9	58.1	3.5	98.3	20.8	8.9	0	1.6	55.3	72.8	149.1	41.8
22	10.1	9.5	11.7	13.5	16.8	22.1	27.1	25.3	23	19.2	14.6	12.6	116.1	123.7	143.9	92.6	179.7	16.3	0.2	11.4	34.9	54.4	136.8	109
23	12.2	7.4	13.9	13.6	19.1	23.4	24.7	24.8	22.3	17.8	14.3	11.7	89.9	64.2	31.1	39.9	4.3	13.5	0.8	52.6	83.5	31.3	383.3	108.3
24	10.9	10.3	12.5	14.8	18	23.2	23.5	28.8	22.8	20.3	14.5	13.4	154.9	86.8	150.1	16.1	5.7	0.4	29	0.6	4.3	57.8	79	65.8
25	11.5	11.7	11.8	14.6	17.5	20.5	25.2	24.5	21.9	18.3	15.1	10.5	72	98	75.3	59.3	17.6	11.3	12.5	16	57.3	11.6	52.6	20.6
26	9.3	9	13.5	15.4	18.1	20.9	25.6	25.3	22	18.4	14.4	11.8	27.4	38.8	37	54.4	4.4	2.3	1.7	1.5	2.1	92.9	164.8	82.2
27	11.7	8.9	12	14.7	17.1	21.9	27.2	25.6	20.8	17	14.5	10.3	93.9	12.8	4.3	54.7	96.4	3.6	0	12.2	12.4	65.8	162.3	59
28	9.7	12.6	11.7	14.9	16.8	20.2	24.4	26.9	22.7	19.4	13.7	10	18.5	111.7	12.3	15.6	11.2	5.2	36.7	0	2.8	24.7	295	51.2
29	8.9	10.2	11.5	12.6	16.1	21.9	24.2	24.7	22.2	18.8	15.3	11.9	161.3	27.3	60.1	37.5	73	4.5	5.6	3.7	34.5	27.5	36.9	81.3
30	9.9	11.6	13.2	15.3	18.4	22.1	23.9	23.3	23.7	19.6	15.2	13.2	23.7	65.5	20.7	65.9	60	9	5.9	76.9	12.4	77.3	30	228.8
31	10.6	12.1	12	15.3	14.4	23.4	26.6	27.1	21.2	20.9	15.7	12.6	64.8	10	91.5	56.2	63.5	57.6	0.4	1.9	12.6	14.3	208.7	132.7
32	10.4	10.4	13	14.1	17.3	22	23.5	24.7	22.9	18.8	17.5	12.5	28.3	162.8	29.1	28.8	3.6	12.6	0.2	8.1	43.5	69.4	38.7	46.4
33	10.6	12	11.9	14.5	15.9	21.5	24.7	25.9	22.7	20.9	14.9	13.4	20	30.1	65.7	61.6	81.1	1	0	4.9	8.6	63.2	113.4	144.1
