#header info#
40.6	#latitude; used for cacluating drought index in model bugmann#
30	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1.0	0.42	-0.61	1.07	6.30

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	8.6	11.6	11.2	13.4	19.1	21.5	22.6	24.9	21.7	19	14.9	11.6	39.8	9.5	43.3	26.6	3.2	26.8	0.1	0	8.5	52	8.6	253.8
2	10.6	10.3	12	13.9	18	19.6	20.9	23.1	19.5	17.8	15.2	10.6	3.6	24.1	28.8	29.9	7.1	7.8	2.2	4.7	11.6	251.9	213.7	64.2
3	10	9.2	11.5	11.3	17.1	22.7	22	23.1	21	15.6	13.3	9.8	15.2	173.6	104	52.5	56.4	38	57.1	10.3	7.5	108.5	43.3	63.4
4	9.5	9.6	12.8	12.6	17.4	19.8	21.4	23.1	21.5	20.3	11.9	10	63.5	21.9	29.8	14.9	1.1	1.9	60.3	5	49	94.4	58	18.4
5	11.9	8.6	12.3	12.7	17.1	22.6	23	22.7	22.7	18.7	15.4	11.5	94.7	36.1	23.4	44.4	130.1	52	1	8.3	34.8	65.3	107.6	51.8
6	11.1	12.1	10.8	13.7	14.5	21.9	24.1	26	22.6	19.5	13.4	10.1	82.2	18.9	88.6	70.4	18.1	12.2	0	4.9	12.2	2.9	141.2	58
7	10.9	11	10.1	13.7	17.6	22.3	24.9	24.7	21.2	17.9	12.1	14.2	38.7	56.5	30.6	22.1	5.2	0.5	0.9	7	10.3	88.5	85.9	54.7
8	8.2	11.7	11.6	12.6	16.5	21.6	22	24.2	22.8	18.3	13.5	9.8	63.8	61.9	45.7	62	12	0.4	0.3	0.1	29.1	86.1	152.3	44
9	8.6	11.6	10.5	12.6	17.1	24.8	22.7	23.9	22.1	18.9	14.8	11.1	21.7	56.5	28.4	59.2	6.4	3.1	7.7	2	14.8	21.8	8.1	96.5
10	11.8	8.9	12.2	14.8	17.6	21.2	24.2	25.3	21.3	15.9	13.6	11.5	26.3	155.7	48.8	92.1	32.2	29.5	33.8	0	49.8	64.4	145.7	57.1
11	8.8	11.8	11.7	13.9	16.6	21.7	23.6	25.5	21.3	19.1	15.1	11.7	242.9	50.1	14.5	42.7	22.1	5	0.7	2.2	31.7	31.1	41.6	21
12	9.8	12.8	11.9	12.5	16.8	21.9	24.3	24	23.3	19.2	16	12.4	9.2	38.4	26.9	149.1	6.8	47	7.5	6.3	1.9	16.4	138.9	109.8
13	11.5	8.7	11.4	13.9	16.9	19.3	23.5	24.7	22.8	18.8	14.8	12	71.4	88.5	30.7	14	1.2	9.3	0.9	0	18.4	102.2	26.4	70.8
14	10.3	9.5	12.6	13.5	17.4	22.5	24.7	26.5	22.4	19.2	14.2	12.5	4.8	73.4	19	38.5	67.1	11.4	2.2	17	2	33.8	144.8	91
15	11	12.3	11.9	13.4	18.1	21.1	25.4	26.6	22.9	21.3	13.6	12	62.3	43.2	44.8	85.6	10.2	34.3	0.7	1.1	82.2	53.8	198.1	100.4
16	11.3	9.6	9.3	14.5	17.2	21.7	23.6	24.3	23.8	18.8	13.3	11.8	179.7	35.2	52	67.8	29.8	82.2	18.2	0.8	110.5	92.6	62.5	54
17	12.2	10.3	13.3	14.9	19.2	21.3	23.4	25.4	19.8	17	14.8	11.8	21.6	45.1	29.3	50	20.4	17.5	18.7	10.3	4.7	52.7	47.8	11.3
18	11.5	10.1	11.1	12.7	18.3	23.5	24.8	26.7	23.4	19.3	13.2	10.3	71.8	18.2	12.4	33.7	2.6	7.5	0	1.4	9.3	80.1	167	39
19	8.6	10.3	11.4	13.4	15.2	19.5	24.6	24.4	21.4	17.8	13.4	13.2	84.2	43.9	56.1	38	66.1	28.8	0.5	28.3	173.2	79.7	47.5	109.9
20	9	11.3	11.7	13.2	18.9	22	25.6	27.3	21.6	18.4	13.6	9.2	149.2	45.7	42.4	41.8	17.6	8.3	0	4.6	2.2	26.1	66.8	19.2
21	9.1	9.1	12.3	13.3	16.2	22.7	25.7	25.4	20.8	18.4	14.1	11	34.7	56.2	3.5	96.7	20.2	9	0	1.6	57.9	71.2	148.8	40.8
22	10.1	9.6	11.7	13.4	17	22.1	27.1	25.3	23	19	14.5	12.6	115.3	119.4	144.4	90.9	173.9	16.4	0.2	11.4	36.6	53.2	136.5	106.3
