#header info#
40.4	#latitude; used for cacluating drought index in model bugmann#
65	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.97	3.12	2.35	4.56	1.71	0.74	0.49	1.16	0.79	0.31	1.82	7.01

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	10	12.8	12.3	14.7	20.2	22.6	24.2	26.6	23.3	20.1	16.1	14.5	57.4	1.2	43.9	18.2	2.8	24.9	0	0	9.8	48.5	2.1	75.3
2	10.3	11.4	13.3	15.1	19.1	20.8	22.7	24.8	21.2	18.8	16.5	11.7	1.5	12.7	24.7	26.1	6.3	4.5	0.6	4.2	9.8	292.2	173.1	78.3
3	10.4	10.5	12.3	12.3	17.9	23.8	23.6	24.8	22.6	16.6	14.5	11.4	11.7	213.4	127.6	24.4	63.9	37.7	72.4	10.9	7.7	112.9	31.1	153.5
4	10.9	10.6	14.2	14.3	18.5	20.8	23.1	24.8	22.8	21.4	13.1	10	59.7	16.7	24.9	4.6	0.5	0.3	71	4.6	51.5	97.9	57.6	88.1
5	12.9	9.6	13.7	13.7	17.8	23.8	24.6	24.4	24.1	19.8	16.7	11.8	24.7	46.1	18.5	29.9	159.9	61.3	0.6	8.6	41.3	63.5	70.5	31.8
6	12.3	13.4	11.5	14.4	15.3	22.9	25.6	27.7	24.1	20.7	14.6	11.5	33.8	3	108.1	79.9	13	6.6	0	4.3	15.1	1.4	132.7	124.1
7	11.6	12.2	11.1	15.1	18.6	23.1	26.3	26.4	22.8	18.9	13.3	12.9	16.8	32.4	29.8	14.8	3.9	0	1.6	6.8	10.6	90.3	89.2	0.3
8	10	13	12.7	13.4	17.5	22.5	23.7	25.9	24.1	19.3	14.7	11	107.9	28.1	46.3	48.2	9.5	0	0	0	34.4	87.6	145.8	151.3
9	9.7	13	11.7	13.4	18.1	25.5	24.4	25.7	23.6	20	16	12.6	42.9	24.8	26.5	44.2	4.7	0.2	7.2	1.5	16.7	17.1	2.2	80.4
10	12	10.1	13.3	15.2	18.5	22.4	25.7	27.1	22.6	16.9	14.8	12	5.9	209.5	49.1	142.6	34.1	31.7	54	0	50.1	62	137.5	37.8
11	11.8	13.1	13.2	14.9	17.5	22.7	25.2	27.3	22.7	20.2	16.3	11	253.9	19.8	10	40.5	20	1.4	0.5	1.7	31.9	26.4	21.6	16.8
12	10.2	14.2	13.2	12.6	17.8	23.1	25.8	25.7	25	20.4	17.3	13.4	10.4	7.4	22.9	163	4.8	58.7	11	6.1	2.8	12.1	94.4	21.8
13	12.5	9.9	12.7	15.6	18	20.5	25.1	26.5	24.3	19.9	16	12.6	26.3	122.7	28	7.4	0.5	7.2	0.6	0	21.7	107.3	12.6	27.8
14	10.3	10.7	14.1	14.7	18.2	23.5	26.1	28.2	24.1	20.3	15.4	13.2	4.3	81.1	13.8	30.4	76.1	5.5	3.1	19.3	2.5	29.3	129.1	18.7
15	12.1	13.7	13.1	13.9	19.2	22.4	26.7	28.3	24.1	22.5	14.8	13.2	32.3	12.6	44.7	91.5	9.1	41.1	1.2	0.7	90.7	51.4	201.8	37.7
16	13.2	10.7	10.1	15.2	18.1	23	25.2	26.1	24.8	19.9	14.5	12.2	88.2	33.8	60.2	88.3	29.3	129	23.2	0.5	126.9	95.9	53.8	32.2
17	12.3	11.5	14.7	15.8	20.3	22.5	25	27.1	21.5	18	16	10.5	3.8	35	23.9	66.3	22.5	14.6	22.6	10.9	3.5	49.4	29.3	14.8
18	12.6	11.2	12.5	13.9	19.4	24.4	26.3	28.5	25	20.4	14.4	11.3	29.9	12.2	8.6	16.9	1.8	2.1	0	0.9	11.9	81.4	175.7	121.4
19	10.7	11.5	12.4	14.6	16	20.9	26.1	26.2	22.5	18.9	14.6	13.8	126.4	34	60.8	27.7	64.5	39.1	0.5	35.5	169.5	80.6	38.3	9.9
20	11.4	12.6	12.9	14.3	19.9	23.1	27	29.1	23.4	19.5	14.8	10.1	178.3	24.1	42.2	29	18.3	3.6	0	4	2.2	21.4	57.6	229
21	10.4	10.2	14.1	13.7	17.2	23.7	27.1	27.1	22.2	19.4	15.4	11.7	55.8	71.7	1.3	102.2	16.6	3.7	0	1.1	52.9	70.8	139.9	75.1
22	12	10.9	12.3	13.9	17.7	23.2	28.3	27.1	24.3	20.1	15.8	13.6	97.9	141.9	187.5	96.8	208.6	12.1	0.7	12.5	40.4	50.5	120.4	25.9
23	13.3	8.5	15.4	14.6	20.4	24.4	26.1	26.5	23.4	18.7	15.5	13.3	26.7	127.4	25.4	28.3	3.4	7.1	0.8	71.2	89.1	25.8	414.9	72.1
24	12.9	11.7	13.2	16.3	19.4	24	25.1	30.6	24.4	21.3	15.6	13.2	96.7	76.7	192.9	11.3	4.2	0	36.1	0.3	5.2	54.4	63.5	5.8
25	12.7	13.3	12.7	15.4	18.7	21.7	26.6	26.2	23.2	19.3	16.2	10.7	31.7	55.1	86.9	69.2	15.2	8.9	19.7	18.7	59.3	7.6	33.7	100.5
26	10.5	10.2	14.8	16.2	19.5	22	27	27	23.7	19.3	15.5	12.9	45.4	47.9	32.9	76.1	3	0.5	2.6	1.1	2.2	93.6	158.5	62.3
27	13.1	9.9	13.7	15.5	18.2	22.9	28.4	27.4	22.3	17.8	15.6	11.9	39.5	15.1	1.8	62.1	104.7	0.9	0	13.6	10.9	62.3	154.7	179.1
28	10.6	14.3	13.1	16.4	18.1	21.3	25.9	28.8	24.4	20.3	14.8	11.7	27.6	49.8	8.3	10.7	8	2.7	52.4	0	3.3	19.4	334.9	214.1
