Age,Age_bacon,Age_clam20,Que.il-t,Que.su-t,Que.pu-t,Ole,Pin,Abi,Acc,Ace,Aln,Bet,Cpn.be,Cas.sa,Cel,Cti,Cit,Cupeae,Euc,Fag,Fic.ca,Fra,Fra.or,Jug,Mor,Ost,Pic,Pla,Pop,Pru-t,Sor,Sty,Tax,Til,Ulm,Vtx,Arc.ox,Bux,Abt,Cis,Pfl,Pis,Cpx,Crn.sa,Cor,Eph,Gei-t,Hde.he,Hpp,Jun-t,Lav-t,Myt,Ros,Rbs,Slx,Sam,Smi,Tam,Thyeae,Vit,Erc.ar-t,Poaeae,Ach-t,All,Apieae,Aum-t,Art-t,Apg,Asd.al-t,Asteae.Ci,Ast-t,Asg-t,Bor,Braeae,Cam-t,Can.sa,Cdu-t,Crl-t,Crh,Cryeae,Ctu,Ctr,Crs-t,Cen.cy,Cer.so,Cer-t,Cpy.hi-t,Che-t,Cch,Cgo,Cyd,Con-t,Ccu,Cus,Cyc,Cgl-t,Dau.ca,Ecm,Ery,Eup,Epr,Fabeae,Flc.vu,Flg-t,Fum,Gal,Geneae,Ger,Glm,Hli,Hern,Hum,Hyp,Kna,Lameae,Lav,Lileae-t,Lnr,Lin,Lin.ca-t,Lis-t,Lot,Lyg,Lys.vu-t,Mlv,Mth,Mnt-t,Mrc.an,Odo-t,Orl,Orn-t,Orp,Pap,Pyc-t,Peu-t,Phm,Pmp.ma-t,Pln.co,Pln.la,Pln.ma,Pln.mr,Pol,Pri,Ptl-t,Rad.li,Ran.ac-t,Res,Roseae,Rubeae,Rum.as-t,Rum.al,Sal-t,San.mi-t,Sax.rt,Scu-t,Sca,Sll-t,Screae,Sed,Sen,Sil.di-t,Sil.vu-t,Sin-t,Sol.du,Sol.ni-t,Spu-t,Sta-t,Teu,Tha,Thg.cy,Trf.pr-t,Trf.re-t,Urt.cf.di,Urt.pi-t,Val,Vlr,Vrb,Vro-t,Vic-t,char,infl,Influx_bacon,Influx_bacon_z,Influx_clam20,Influx_clam20z
952,1675,989,21.4,3.8,2.4,8.3,1.2,0,0,0,1,0,0,0,0,0,0,0,0,0.8,0,2,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.6,2,1.4,15.2,0,0,0.2,0.2,0.2,0,0,3.8,0,0.2,0,0,0,0,0,2,0,0,10.5,4,0,0.2,0,0,1,0,0,0.6,1.8,0,0,1.2,0,0.2,0,0,0,0,0,0,0,0,0,1.2,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0.2,0,0,0.8,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0.2,2.2,0,0,0,0,0,0,0.8,0,0,0,0.4,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,3.2,0.4,0,0,0,0,0.2,0,0,0,0,0.2,0,22395.1,5333.4,12566.11872,-0.821531559,26610.60435,-0.559155206
998,1766,1029,14.1,5.4,2.6,7.8,0.4,0,0,0.2,0.8,0.2,0,0,0,0,0.2,0.2,0,0,0,1,0,0,0,0.6,0,0,0.4,0,0.2,0,0,0,0.2,0.2,0,0,1.2,1.4,0.2,9.8,0.2,0,0.2,0,7.2,0,0,2.2,0,0,0.2,0,0.2,0,0,1.2,0,0.2,4.6,10,0.6,0,0,0,1.4,0,0.8,2,1.8,0,0,0.8,0,0,0.2,0,0,0,0,0,0,0,0,1,0,1.6,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0,0.2,0.4,0,0.2,0,0,0.4,0,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0.4,0,0.2,1.6,0,0,0,0,0,0,2,0,0,0,0.2,1,0.4,0,0,0,0,0.8,0.8,0,0.6,0,0,0.2,0,0,0,2.4,0,0.6,0,0,0,0,0,0,0,0,1,0,14500.2,3453.2,8023.449495,-0.963917981,19053.04629,-0.711191485
1045,1856,1065,15.6,3.6,4.2,7,1.4,0,0,0,0.6,0.2,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0.4,0,0,0.4,0.6,0,0,0,0,0.2,0.2,0,0,0.2,2.6,1.4,8.4,0,0,0.6,0,1.2,0,0,3,0,0.2,0,0.8,0.4,0,0,1.2,0,0,4.6,14,0.4,0.4,0,0,1.6,0,0.2,2.8,2.2,0,0,2.2,0,0,0.2,0,0,0,0,0,0,0,0,1,0,1.4,0,0,0,0.2,0,0,0,0,0,0,0.2,0.2,0,0,0,0.6,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6,0,0,1.4,0,0,0,0,0,0,2.4,0,0,0,0.8,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,2.8,0.8,0.8,0,0,0,0.2,0,0,0,0,0.2,0,40833.2,9724.5,22730.47454,-0.502937756,62752.84381,0.167922451
1091,1947,1095,19.1,3.9,4.5,6.2,1.2,0,0,0,1.4,0.8,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0.2,0,0,0,0.8,0.4,0,0,0,0,0.2,0,0,0.2,1,1.4,14.8,0.6,0,0.4,0,0,0,0,2.3,0,0.6,0,0,0.2,0,0,3.1,0,0.4,5.6,7.8,0.2,0,0,0,2.1,0,0,1,1.4,0,0,1.2,0,0,0.4,0,0,0,0,0,0,0.2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,1.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0.2,0,0,0,0,0.8,0,0,0,0.2,2.1,1.6,0,0.4,0,0,0,0,0,0,0,0,0.2,0,0,0,2.7,1.4,0,0,0,0,0,0,0,0,0,0.2,0,47224.5,11246.6,24273.41667,-0.454575439,90572.45025,0.727572726
1114,2052,1116,24.9,5.2,4.1,4.1,0.8,0,0,0,1.2,0.4,0.2,0,0,0,0,0,0,0.4,0,1,0,0.2,0,0.6,0,0,0.2,0,0.6,0,0,0,0,0,0,0.2,0.2,1.9,0.6,10.8,0,0,0.8,0.2,0.2,0,0,4.2,0.2,0.2,0,0.2,0.2,0,0,1.4,0,0,6.8,4.8,0.2,0,0,0.4,1.5,0,0,0.4,2.1,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,1,0,1.7,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0.4,0,0,0.2,0,0,0,1.7,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,1.7,0,0,0,0.8,1.2,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,5,0.4,0,0,0,0,1.5,0,0,0,0,0.2,0,30602.2,1328,13209.93534,-0.801351629,102270.4672,0.9629031
1132,2168,1129,17.4,2.9,1.9,4.6,0.8,0,0,0,1.2,0.2,0,0,0,0,0,0.2,0,0.2,0,0.8,0,0.2,0,0.4,0,0,0,0.6,0.2,0,0,0,0.4,0.4,0,0,0,2.7,1.5,7.7,0.6,0,0.8,0,0,0,0,4.6,1,0,0,0,0,0,0,4.1,0,0,12.4,5.4,0.6,0,0,0.2,2.9,0,0,0.8,1.7,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.4,0,0,0.2,0,0.4,0,0,0.2,0,0,0,1.7,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,1.7,0,0,0,0,0,0,1.2,0,0,0,0.8,1.9,1.2,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,3.9,1.2,0.2,0,0,0,0,0,0,0,0,0,0,30961.9,1343.7,13339.39972,-0.797293669,135654.9124,1.634501887
1150,2282,1143,25.2,2.4,4.9,6,1.1,0,0,0,0.8,0.2,0,0,0,0,0,0.2,0,0,0,2.1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.5,0.8,6.5,0,0,0.8,0.2,5.2,0,0,2.1,0,0.2,0,0,0.6,0.3,0,1.3,0,0,5,8.3,0,0,0,0,2.1,0,0,0.2,0.6,0,0,1.1,0,0,0,0,0,0.2,0,0,0,0,0,0.8,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0.2,0,0,0.3,0,0.5,0,0.5,0,0,0,0,0.2,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0.6,0,0.6,0,0,0,0,1.9,0,0,0,1,1.1,0.2,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,5.8,0.6,0,0,0,0,0.8,0,0,0,0,0.3,0,13685.7,593.9,7688.899793,-0.974404181,49751.70455,-0.093622988
1168,2397,1166,23.9,3.3,4,5,1,0,0,0,0.4,1.3,0,0,0,0,0,0,0,0.2,0,2.1,0,0,0,0.6,0,0,0.6,0.8,0,0,0,0,0.2,0,0,0,0,2.3,1.1,11.3,0.8,0,0.4,0.2,0,0,0,5.2,0,0.4,0,0,0.2,0,0,1.5,0,0.2,8.6,5.2,0,0,0,0,1.9,0,0,0.6,0.6,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.4,0.2,0,0.2,0,0,0,0,0.2,0,0,0.6,0,0,0,0.6,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0.6,0,0,0,0.2,1.7,0.4,0.2,1,0,0,0,0,0,0,0,0,0.2,0,0,0,2.7,0.8,0.4,0,0,0,0.2,0,0.2,0,0,0,0,26635.7,1155.9,11608.73106,-0.851540128,44506.31717,-0.199145059
1172,2422,1172,25,5.7,7.2,6.6,1,0,0,0,1.4,0.2,0.2,0,0,0,0,0,0,0,0,0.6,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.2,2.1,9.4,0,0,1,0,0,0,0,7,0,1,0,0,0.2,0,0,4.3,0.2,0,4.9,5.9,0.6,0,0,0,2,0,0.4,1.6,2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2.9,0,0.2,0,0,0,0,0.4,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23853.9,1035.2,15266.40038,-0.736893337,39825.39228,-0.293311772
1315,2472,1204,22.1,4.3,11.8,6,0.9,0.2,0,0,2,0.7,0,0,0,0,0,0,0,0,0,0.4,0,0,0,1.1,0,0,0,0,0,0,0,0,0.4,0,0,0,0,1.8,2.2,9.9,0.7,0,0.4,0,0,0,0,4.9,0,0.7,0,0,0.5,0,0,5.4,0.4,0.2,7.2,5.4,0.7,0,0,0,1.3,0,0.2,1.1,0.7,0.2,0,0.7,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17757.6,770.6,10521.30298,-0.885624713,10943.40578,-0.874334071
