Age,Age_bacon,Age_clam20,Quercus ilex-type,Quercus suber-type,Quercus pubescens-type,Olea europaea,Pinus,Abies,Acer,Alnus glutinosa-type,Alnus viridis-type,Betula,Carpinus betulus,Castanea sativa,Ceratonia siliqua,Elaeagnus,Fagus,Ficus carica,Fraxinus ornus,Fraxinus oxycarpa-type,Hedera,Juglans regia,Loranthus europaeus,Morus,Ostrya carpinifolia-type,Populus,Prunus-type,Salix,Styrax,Taxus baccata,Tilia,Ulmus,Arbutus,Buxus,Chamaerops humilis,Cistus albidus-type,Cistus monspeliensis-type,Cornus sanguinea,Corylus,Ephedra,Genista-type,Juniperus-type,Myrtus communis,Nerium oleander,Phillyrea,Pistacia,Rhamnus,Rubus,Sambucus,Tamarix,Thymelaea,Vitis,Erica arborea-type,Poaceae,Achillea-type,Allium-type,Ambrosia,Apiaceae undiff.,Arctium,Armeria-type,Artemisia,Asparagus,Asphodelus albus-type,Asphodelus fistulosus,Asteraceae subf. Cichorioideae,Aster-type,Avena-type,Boraginaceae,Brassicaceae,Bryonia,Bupleurum,Campanulaceae,Cannabis-type,Carduus,Carlina,Carthamus,Caryophyllaceae undiff.,Centaurea cyanus,Centaurea nigra-type,Cerealia-type undiff.,Chenopodiaceae-type,Consolida-type,Convolvulus,Corrigiola litoralis,Crocus,Daucus,Echium,Eryngium,Euphorbia,Euphrasia,Fabaceae undiff.,Fagopyrum,Falcaria,Filago-type,Filipendula,Galeopsis-type,Galium-type,Gentiana,Geranium,Geum-type,Gratiola officinalis,Helianthemum,Hordeum-type,Hypericum perforatum-type,Illecebrum verticillatum,Lamiaceae undiff.,Lamium album-type,Lathyrus-type,Lavandula,Liliaceae undiff.,Linaria-type,Linum austriacum-type,Linum usitatissimum-type,Lotus-type,Lythrum salicaria-type,Mentha-type,Mercurialis,Minuartia,Onobrychis-type,Onosma,Orlaya,Papaver rhoeas-type,Paronychia-type,Pimpinella major-type,Pisum sativum,Plantago coronopus,Plantago lanceolata-type,Plantago maritima-type,Plantago media,Polygonum aviculare-type,Primula,Prunella-type,Radiola linoides,Ranunculus arvensis,Ranunculus-type,Reseda-type,Rosaceae undiff.,Rumex acetosa-type,Rumex acetosella-type,Rumex obtusifolius-type,Sanguisorba minor-type,Saxifraga,Scabiosa,Scrophulariaceae,Secale cereale,Sedum-type,Silene gallica-type,Spergula-type,Stachys-type,Teucrium,Thalictrum,Thelygonum cynocrambe,Trifolium,Triticum-type,Urtica dioica-type,Urtica pilulifera-type,Valeriana,Valerianella,Verbascum,Veronica-type,char,influx,influx_bacon,influx_bacon_z,Influx_clam20,Influx_clam20z
2237,2036,1982,2.7,0,1.3,11,0.8,0,0,5.4,0,0,0,0,0,0,0.4,0,0,0.4,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.8,4.4,0.2,0.2,0,0,2.7,1.5,0,0.6,5.8,0,0.6,0,0,0,0.2,18.1,10.2,0.8,0,0.4,0,0.2,0,6.7,0,0.4,0,8.5,2.1,0,0,4.6,0,0.2,0,0,0.2,0,0,0.2,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.4,0,0,0,0,0.2,0,0,0,0,0,1150837.2,124684.4204,191806.2,0.488544584,334545.6977,0.892439911
2331,2104,2021,3.5,0,1.7,6.4,0.6,0,0,5.8,0,0,0,0,0,0,0.2,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,6,0.2,0.2,0.2,0,2.1,1.2,0,0.4,4.5,0,0.4,0,0,0,1,13.4,9.9,1.7,0,0,0,0,0,5.4,0,0.4,0,8.1,2.1,0,0,7.2,0,0,0,0,0.8,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0.4,0,0,0,0,0,0.8,0,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0.2,0,0.2,0,1.9,0,0,0,0,0,0,0,0,0,0,0.6,1.2,0,0,0.2,0.2,0,0,0,0,0,1288437.3,132419.0442,184062.4714,0.416480964,291501.6516,0.640773204
2431,2173,2071,7,0.4,1.2,9.1,0.4,0,0,3.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,2.5,0,0.4,0.2,0,3.9,1.9,0,0.4,8.4,0,0,0,0,0,0,13.4,14.4,0.6,0,0.2,0,0,0,7.2,0,0.4,0,0,1.8,0,0,2.5,0,0.4,0,0,0.2,0,0,0.8,0,0,0,7,0,0,0,0,0,0,0.2,0,0,0,0,0,0.4,0,0,0,0,0.2,0,0,0,0.6,0.2,0,0,0,0,0.4,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.2,0,0,0,0,0,0,0.4,0,0,0,1.6,0.4,0,0,0,0,0.4,0,0,0,0,0.8,0.4,0,0,0,0.6,0,0,0,0,0,1082037.15,106604.6453,154576.7357,0.142084876,180942.6672,-0.005634791
2533,2241,2155,9.1,0,1.3,13.2,0.8,0,0,2.8,0,0.2,0,0.4,0,0,0,0,0,0.9,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0.8,0.9,0,0.4,0.2,0,6.8,2.3,0,1.9,13.2,0,0,0,0,0,0.6,6.8,4.3,0.8,0.2,0,0,0,0,2.6,0,0,0,4.3,0.8,0,0,1.3,0,0,0,0,0.4,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0.4,0,0.6,0,0.2,0,0,0,0,0,0,0,1.9,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.9,0,0,0,0,0,0,0,0.6,0,0,0,5.5,0,0,0,0,0.2,0.2,0,0,0,0.6,1.1,0.8,0.2,0,0.2,0,0,0,0,0,0,681745.95,66124.72842,97392.27857,-0.390077235,47707.90413,-0.784621832
2636,2308,2343,14.9,0.9,2.8,8,1.1,0,0,3,0,0.2,0,0,0,0,0.2,0,0,1.9,0,0,0,0,0.2,0,0.4,0.2,0,0,0,0.2,0,0,0,0.2,0.6,0,0.7,0,0.4,0.6,2.2,0,0.4,19.4,0,0,0.2,0.2,0,0.2,14.2,5.8,0.6,0,0,0,0,0,2.6,0,0.4,0,1.1,0.7,0,0,0.6,0,0,0,0,0.2,0,0,0,0,0,0,6.5,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0.4,0,0.7,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,1.1,0,0.4,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.4,0,0,0,2,0.9,0.2,0.2,0,0,0.2,0,0,0,0.2,0.4,0.2,0.4,0,0,0,0,0,0,0,0,371100.3333,36311.18721,53014.33333,-0.803061151,16044.11298,-0.969751316
2737,2375,2592,8.8,0.8,3.5,19.8,0.6,0,0,7.6,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0.2,0,0.4,0,0,0,0,0,0,0,0,0.2,0.4,0.2,0,0,0,1.8,1.8,0,1.2,10,0,0,0,0,0,0,7.6,12.9,0.2,0.2,0,0,0,0,3.9,0,0,0,0.4,0.6,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.6,0.8,0.2,0,0,0,0.2,0,0,0,0,0,431348.2759,43702.96615,71891.37931,-0.627390189,16622.28424,-0.966370908
2833,2443,2842,8.2,0.8,3.8,21.1,0.6,0,0,4.8,0,0.4,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0.4,0,0,0,0.4,0,0.2,0,0,1.7,0.4,0,0.6,8.2,0,0,0,0,0,0.6,12.8,4,0.6,0,0,0,0,0,3.8,0,0.2,0,1.9,1,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,3.3,0,0,0,0,0,0.2,0,0,0,0,0,0.2,1.1,0,0,0,0,0,0,0,0.2,0,0.4,0,0.8,0,0,0.6,0,0,0,0,0,0,1,1,0.4,0,0,0.2,0.4,0,0,0,0,0,963200.7,103905.1456,137600.1,-0.015900751,42319.89016,-0.816124069
2879,2476,2949,8.9,3.1,2.3,19.5,1.2,0,0,3.5,0,0,0.4,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0.6,0,0,0,0,0.2,0,0.2,0.2,1,0,0.2,0,0,2.5,1.7,0,1.7,11.4,0,0,0,0,0,0.2,8.9,7.5,2.1,0,0,0.4,0,0,0.6,0.2,0,0,2.7,0.2,0,0,1.9,0,0,0,0,0.2,0,0,0,0,0.2,0.8,4.3,0,0,0.4,0,0,0.4,0,0.4,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0.2,0,0,0,0,0.2,0.4,0,0,0,0,0.6,0,0.4,0,0,0,0,0,0,0.8,0,0,0,0.6,0.2,0,0.6,0,0,0,0,0,0.2,0,0.2,2.7,0,0,0,0,0,0,0,0,0.2,0.4,0,0,0,0.2,0,0,0.2,0,0,0,0,521212.5,58761.27396,86868.75,-0.488009846,27562.79746,-0.902404734
2963,2542,3088,13.5,1.8,3.7,12.3,1.4,0,0,3.7,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0.2,0,0,0.8,1,0,0.2,0,0,0.8,1.8,0,1,14.5,0,0,0,0,0,0.6,8.6,7.4,1.6,0,0,0.2,0,0,1.6,0,0,0,2.5,0.6,0.2,0,1.4,0,0.4,0,0,0.2,0,0,0,0,0,1.4,5.7,0,0,0.4,0,0.2,0.2,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0.2,0.2,0,0,0.4,0,0.2,0,0.2,0,0,0,0,0.6,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,2.9,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0,0,542061,68789.46701,90343.5,-0.455673607,81146.85629,-0.589113469
3001,2574,3112,4.8,0.6,1.7,15.4,0.4,0,0,6.8,0,0.4,0,0,0,0,0,0,0,0.8,0,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0,0.4,0.4,0.2,0,0,0.4,1.4,0.2,0,0.8,8.7,0,0,0,0,0,0.8,13.1,7.9,0.2,0,0,0,0,0.2,3.3,0,0,0.2,6.8,1.5,0,0,1.2,0,0.2,0,0,0.2,0,0,0.2,0,0,0,6,0,0,0,0,0,0,0.2,0,0,0,0,0,0.4,0,0.8,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,1.9,0,0.4,0,0,0,0,0,0,0,0,0,0.2,0.6,0,0.2,0,0,0,0,0,0.6,0,0,0,6,0.4,0,0,0,0,0.2,0.2,0,0,0,0.8,0.6,0,0,0.8,0,0,0,0,0,0,1074194.143,147149.8826,153456.3061,0.131658088,260726.7337,0.460840718
