#header info#
39.25	#latitude; used for cacluating drought index in model bugmann#
5	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.61	-0.64	-0.58	-0.60	-0.53	-0.44	-0.40	-0.48	-0.57	-0.53	-0.63	-0.64

#precipitation lapse rate with increasing altitude: #
8.19	6.74	6.91	6.83	3.78	1.68	0.99	1.28	3.95	6.34	8.80	11.12

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	8.9	11.9	11.9	14.4	20.1	22.7	24.2	26.8	22.9	19.6	14.3	13.3	26.4	3.4	35.4	17.7	2.4	13.7	0	0	10.1	70.2	2.9	104.1
2	11	10.6	12.8	14.8	18.9	20.7	22.4	24.2	20.7	17.1	16	10.7	4.1	16.4	20.5	24.5	5.6	4.8	0	2.1	4.2	149.9	77.7	46.9
3	10.3	9.9	12.1	12	17.8	23.9	21.8	24.1	22.2	15.9	13.4	10.2	13	162.9	81.3	20	41.7	18	9.8	5.5	5.8	17.4	28.7	70.9
4	9.6	9.9	13.6	14	18.3	20.8	21.3	24.1	22.3	20.3	12.3	9.1	44.6	18.6	18.8	5.3	1.1	1.1	6.8	2.1	40.1	169.6	56.4	27.7
5	11.9	9	13.1	13.4	17.7	23.8	24.3	23.7	23.6	19.2	15.8	11	79.7	39.5	16.1	25.5	93	25.9	0.3	3.1	43.2	66.9	36	25
6	11.1	12.4	11.4	14	15.1	23	26.4	27.2	23.7	21.5	14.1	10.4	65.7	6.9	77.5	62.7	17.7	5.6	0	9.2	17.7	13.1	83.6	59.7
7	11	11.4	10.8	14.8	18.4	23.1	25.8	25.8	22.4	18.2	12.7	12.8	33	36.5	31.8	14.9	4.4	0.1	3.4	6.9	7.9	54.6	75.9	2.8
8	8.3	12.1	12.3	13.1	17.3	22.5	23.7	25.6	23.7	18.6	14.2	9.9	39.2	34.7	36.8	38.2	10.5	0.1	0	0	35.7	64.7	91.1	60.2
9	8.8	12.1	11.3	13.1	17.9	25.7	23.5	25.1	23.2	20.1	14.1	11.6	14.5	31.4	27.9	35.2	5.7	0.7	1.2	1	15.6	30	3.5	60.6
10	11.9	9.6	12.9	14.8	18.3	22.3	24	27.1	22.1	16.7	14.3	11.3	25.9	155.6	36.5	108.2	24.3	16.2	17.4	0	34.2	8.8	87.1	29.5
11	8.6	12.2	12.6	14.5	17.3	22.7	24.9	26.7	22.2	20.1	15	10.4	152.8	26.6	11.8	34.6	18.3	2.3	0.4	3.2	21.8	41.7	16.4	10.2
12	10.1	13.2	12.6	12.1	17.6	23.1	24.8	25	24.7	20.6	16.4	12.7	7.9	14.3	21.4	113.1	6.2	25.1	5.5	3.6	5.2	28.2	44.5	34.4
13	11.5	9.3	12.2	15.3	17.7	20.3	24.8	26.3	23.8	19	14.5	11.8	59.5	93.8	26.6	8.5	1.3	6.4	0.4	0	22.3	89.1	12.3	28.8
14	10.6	10	13.4	14.3	18	23.5	25.5	27.4	23.8	20.2	14.8	12.5	4.8	68.3	13.3	26.5	49.4	5	3.1	25.4	2.9	44.6	78.9	28.2
15	11	12.7	12.6	13.5	18.9	22.3	26.3	27.8	23.5	21.8	14.5	12.3	50	19.7	36.1	68.5	8	19.5	3.1	2.9	77.2	154.1	123.2	42.3
16	11.1	10	9.9	14.8	17.8	22.9	23.9	25.5	24.3	19.1	13.6	11.5	134.5	32.3	60.8	69.2	23.4	46.5	5.3	0.4	118.1	78.3	48.2	26.4
17	12.3	10.7	14	15.4	20	22.4	23.7	26.3	21.1	17.9	14.8	10.1	22.7	35.5	18.7	54.6	14.1	9.5	4.3	10.4	1	14	23.7	6.6
18	11.4	10.3	11.8	13.6	19.1	24.5	26.6	27.9	24.6	19.7	14.1	10.2	59.2	14.6	12.6	15.1	2.3	2.7	0	3.4	14.8	84	118.9	50.2
19	8.6	10.7	12.1	14.2	15.6	20.6	25.8	25.1	21.7	18.4	13.6	13.3	53	34.6	49.9	24	54.7	19.3	0.8	20	103.2	38	38.2	24.7
